"postcode","latitude","longitude"
"BL9 6LB",53.600392,-2.273891
"BL9 6LD",53.599905,-2.273629
"BL9 6LE",53.598294,-2.275419
"BL9 6LG",53.600231,-2.281053
"BL9 6LH",53.601341,-2.279398
"BL9 6LJ",53.600683,-2.279877
"BL9 6LL",53.602437,-2.290648
"BL9 6LN",53.603627,-2.289221
"BL9 6LP",53.602951,-2.289335
"BL9 6LQ",53.601229,-2.281105
"BL9 6LR",53.602924,-2.290244
"BL9 6LS",53.602541,-2.288549
"BL9 6LT",53.601675,-2.288948
"BL9 6LU",53.601001,-2.289261
"BL9 6LW",53.603352,-2.28804
"BL9 6LX",53.601901,-2.288572
"BL9 6LY",53.602858,-2.287523
"BL9 6NA",53.603446,-2.286318
"BL9 6NB",53.604127,-2.286882
"BL9 6ND",53.603631,-2.28768
"BL9 6NE",53.604389,-2.286657
"BL9 6NF",53.60483,-2.286086
"BL9 6NG",53.606716,-2.289889
"BL9 6NH",53.606344,-2.291945
"BL9 6NJ",53.607922,-2.289082
"BL9 6NL",53.607471,-2.290698
"BL9 6NN",53.606174,-2.290823
"BL9 6NP",53.60721,-2.290847
"BL9 6NQ",53.605646,-2.290882
"BL9 6NR",53.604565,-2.287381
"BL9 6NS",53.60307,-2.281661
"BL9 6NT",53.609662,-2.291514
"BL9 6NW",53.606428,-2.290812
"BL9 6NX",53.607448,-2.292617
"BL9 6NY",53.607197,-2.295031
"BL9 6NZ",53.607039,-2.294322
"BL9 6PA",53.606983,-2.295199
"BL9 6PB",53.60799,-2.29516
"BL9 6PD",53.60809,-2.293844
"BL9 6PE",53.608479,-2.29306
"BL9 6PF",53.60795,-2.293029
"BL9 6PH",53.609031,-2.288563
"BL9 6PJ",53.610138,-2.287132
"BL9 6PL",53.610516,-2.287757
"BL9 6PN",53.610601,-2.28907
"BL9 6PP",53.609881,-2.289974
"BL9 6PQ",53.607993,-2.290399
"BL9 6PR",53.610284,-2.290899
"BL9 6PS",53.609742,-2.290817
"BL9 6PT",53.610545,-2.290689
"BL9 6PU",53.611844,-2.288461
"BL9 6PW",53.609513,-2.289911
"BL9 6PX",53.611472,-2.290272
"BL9 6PY",53.61137,-2.29133
"BL9 6PZ",53.612052,-2.291909
"BL9 6QA",53.612379,-2.290596
"BL9 6QB",53.6136,-2.290876
"BL9 6QD",53.612825,-2.291808
"BL9 6QE",53.611679,-2.292674
"BL9 6QF",53.609775,-2.292162
"BL9 6QG",53.614259,-2.289898
"BL9 6QH",53.613372,-2.292401
"BL9 6QJ",53.61467,-2.290884
"BL9 6QL",53.614483,-2.28996
"BL9 6QN",53.609302,-2.291572
"BL9 6QP",53.613853,-2.293158
"BL9 6QQ",53.614888,-2.290039
"BL9 6QR",53.613991,-2.292131
"BL9 6QS",53.614639,-2.292335
"BL9 6QT",53.614404,-2.293134
"BL9 6QU",53.61525,-2.292747
"BL9 6QW",53.613605,-2.289123
"BL9 6QX",53.617347,-2.291582
"BL9 6QY",53.618265,-2.290969
"BL9 6QZ",53.6191,-2.291262
"BL9 6RA",53.616014,-2.291707
"BL9 6RB",53.618314,-2.289397
"BL9 6RD",53.618066,-2.290663
"BL9 6RF",53.619647,-2.291901
"BL9 6RG",53.620026,-2.291117
"BL9 6RH",53.620005,-2.292674
"BL9 6RJ",53.620813,-2.292725
"BL9 6RL",53.619911,-2.294064
"BL9 6RN",53.618496,-2.29505
"BL9 6RP",53.620485,-2.294733
"BL9 6RQ",53.620321,-2.291769
"BL9 6RR",53.62089,-2.294509
"BL9 6RS",53.621836,-2.293609
"BL9 6RT",53.622081,-2.292537
"BL9 6RU",53.62353,-2.291245
"BL9 6RW",53.620015,-2.295667
"BL9 6RX",53.624169,-2.291539
"BL9 6RY",53.62418,-2.290858
"BL9 6RZ",53.623707,-2.289101
"BL9 6SA",53.622406,-2.291192
"BL9 6SB",53.621706,-2.291673
"BL9 6SD",53.618797,-2.294041
"BL9 6SE",53.618886,-2.294299
"BL9 6SF",53.618999,-2.295023
"BL9 6SG",53.615297,-2.291538
"BL9 6SH",53.617376,-2.29444
"BL9 6SJ",53.61765,-2.292522
"BL9 6SL",53.61877,-2.290186
"BL9 6SN",53.618783,-2.288433
"BL9 6SP",53.631741,-2.289837
"BL9 6SQ",53.617823,-2.294319
"BL9 6SR",53.632325,-2.292878
"BL9 6SS",53.608976,-2.280489
"BL9 6ST",53.610131,-2.279396
"BL9 6SU",53.612502,-2.283309
"BL9 6SW",53.618895,-2.286937
"BL9 6SX",53.626628,-2.285508
"BL9 6SY",53.638096,-2.293344
"BL9 6TJ",53.615109,-2.287546
"BL9 6TN",53.613575,-2.290105
"BL9 6TP",53.60552,-2.26295
"BL9 6TQ",53.613018,-2.289935
"BL9 6TR",53.607263,-2.25574
"BL9 6TS",53.607958,-2.253459
"BL9 6TT",53.608235,-2.25103
"BL9 6TU",53.608307,-2.25097
"BL9 6TX",53.608443,-2.250215
"BL9 6TY",53.608517,-2.249369
"BL9 6TZ",53.611278,-2.252847
"BL9 6UA",53.6158,-2.255819
"BL9 6UB",53.616704,-2.254285
"BL9 6UD",53.603776,-2.238324
"BL9 6UE",53.604817,-2.238935
"BL9 6UF",53.602272,-2.244149
"BL9 6UG",53.603848,-2.270813
"BL9 6UH",53.606038,-2.259976
"BL9 6UJ",53.608909,-2.271664
"BL9 6UL",53.612681,-2.264219
"BL9 6UN",53.611743,-2.274237
"BL9 6UQ",53.604174,-2.258426
"BL9 6UR",53.610564,-2.25059
"BL9 6US",53.612997,-2.251829
"BL9 6UT",53.616032,-2.256516
"BL9 6UU",53.615861,-2.243923
"BL9 6UY",53.606242,-2.244517
"BL9 6WD",53.609235,-2.289728
"BL9 6WE",53.608255,-2.289948
"BL9 6WF",53.608523,-2.28966
"BL9 6WG",53.608457,-2.291748
"BL9 6WH",53.608991,-2.290361
"BL9 6XA",53.610191,-2.256861
"BL9 6XB",53.615779,-2.28941
"BL9 6XD",53.615363,-2.290647
"BL9 6XE",53.611135,-2.291857
"BL9 6YA",53.602627,-2.282716
"BL9 7AF",53.596896,-2.287797
"BL9 7AG",53.596869,-2.288054
"BL9 7AH",53.596154,-2.286145
"BL9 7AJ",53.59594,-2.285645
"BL9 7AN",53.594745,-2.285562
"BL9 7AQ",53.596007,-2.288338
"BL9 7AR",53.59369,-2.286718
"BL9 7AT",53.593949,-2.287536
"BL9 7AU",53.593626,-2.288171
"BL9 7AW",53.594216,-2.266297
"BL9 7AX",53.593607,-2.288457
"BL9 7AY",53.5929,-2.286592
"BL9 7AZ",53.592659,-2.28931
"BL9 7BA",53.59311,-2.285886
"BL9 7BB",53.593033,-2.283193
"BL9 7BD",53.59279,-2.283721
"BL9 7BE",53.594354,-2.283535
"BL9 7BF",53.593476,-2.286278
"BL9 7BG",53.593614,-2.28492
"BL9 7BH",53.593964,-2.282054
"BL9 7BL",53.594354,-2.284549
"BL9 7BP",53.594664,-2.282436
"BL9 7BQ",53.590715,-2.276171
"BL9 7BR",53.58927,-2.275376
"BL9 7BS",53.59339,-2.281627
"BL9 7BT",53.594053,-2.281493
"BL9 7BU",53.593428,-2.280555
"BL9 7BW",53.595216,-2.283797
"BL9 7BX",53.592824,-2.280563
"BL9 7BY",53.592447,-2.281258
"BL9 7BZ",53.592953,-2.280204
"BL9 7DA",53.593099,-2.279057
"BL9 7DB",53.592498,-2.277585
"BL9 7DD",53.592965,-2.278618
"BL9 7DE",53.593067,-2.277651
"BL9 7DF",53.591935,-2.276538
"BL9 7DH",53.59345,-2.277969
"BL9 7DJ",53.593682,-2.27968
"BL9 7DL",53.594107,-2.27858
"BL9 7DN",53.593454,-2.280114
"BL9 7DP",53.594193,-2.280167
"BL9 7DQ",53.592819,-2.275807
"BL9 7DR",53.592618,-2.276573
"BL9 7DS",53.592146,-2.279277
"BL9 7DW",53.593884,-2.277944
"BL9 7DY",53.591833,-2.285482
"BL9 7DZ",53.592182,-2.285771
"BL9 7EA",53.589835,-2.287148
"BL9 7EB",53.589886,-2.28778
"BL9 7ED",53.588354,-2.289099
"BL9 7EF",53.588318,-2.286548
"BL9 7EG",53.588961,-2.284422
"BL9 7EH",53.589064,-2.286432
"BL9 7EJ",53.588645,-2.284843
"BL9 7EL",53.589361,-2.285495
"BL9 7EN",53.590755,-2.28584
"BL9 7EP",53.590281,-2.285021
"BL9 7EQ",53.588422,-2.287878
"BL9 7ER",53.591016,-2.284827
"BL9 7ES",53.590804,-2.283254
"BL9 7ET",53.58953,-2.282354
"BL9 7EU",53.588766,-2.28714
"BL9 7EW",53.590091,-2.285291
"BL9 7EX",53.588513,-2.280114
"BL9 7EY",53.591646,-2.281464
"BL9 7EZ",53.589018,-2.287051
"BL9 7FU",53.606265,-2.250532
"BL9 7FX",53.592627,-2.310206
"BL9 7GD",53.60372,-2.248087
"BL9 7HB",53.591022,-2.283243
"BL9 7HD",53.591252,-2.284876
"BL9 7HE",53.591637,-2.284378
"BL9 7HF",53.592026,-2.283595
"BL9 7HG",53.591766,-2.283973
"BL9 7HH",53.592386,-2.284022
"BL9 7HJ",53.59247,-2.282814
"BL9 7HL",53.591328,-2.282291
"BL9 7HN",53.58777,-2.258507
"BL9 7HP",53.591555,-2.274484
"BL9 7HQ",53.591506,-2.283032
"BL9 7HR",53.591314,-2.268784
"BL9 7HS",53.591002,-2.268694
"BL9 7HT",53.591431,-2.264827
"BL9 7HU",53.586882,-2.257928
"BL9 7HW",53.587015,-2.258774
"BL9 7HX",53.591656,-2.26128
"BL9 7HY",53.591233,-2.260746
"BL9 7HZ",53.592188,-2.256389
"BL9 7JA",53.590035,-2.254714
"BL9 7JB",53.589242,-2.255631
"BL9 7JD",53.588992,-2.254557
"BL9 7JE",53.588838,-2.255371
"BL9 7JF",53.588548,-2.256246
"BL9 7JG",53.588597,-2.258618
"BL9 7JH",53.588273,-2.258782
"BL9 7JJ",53.587804,-2.259459
"BL9 7JL",53.585433,-2.25887
"BL9 7JN",53.589358,-2.259922
"BL9 7JP",53.590215,-2.262586
"BL9 7JQ",53.588272,-2.259341
"BL9 7JR",53.58981,-2.262991
"BL9 7JS",53.589206,-2.263577
"BL9 7JT",53.587489,-2.268083
"BL9 7JU",53.589585,-2.26731
"BL9 7JW",53.589518,-2.261041
